"lemma","count","strong","lexicon"
"Λευεί",2,"G30170","{'brief': 'Levi', 'long': '(Hebrew), Levi, (a) an ancestor of Jesus, (b) another ancestor of Jesus, (c) third son of Jacob, the patriarch, and founder of a tribe named after him, (d) son of Alphaeus, and called Matthew, a revenue officer and one of the twelve apostles of Jesus.'}"
"Λευείς",3,"G30170","{'brief': 'Levi', 'long': '(Hebrew), Levi, (a) an ancestor of Jesus, (b) another ancestor of Jesus, (c) third son of Jacob, the patriarch, and founder of a tribe named after him, (d) son of Alphaeus, and called Matthew, a revenue officer and one of the twelve apostles of Jesus.'}"
"Λευείτης",3,"G30190","{'brief': 'a Levite', 'long': ""a Levite, properly a man of the tribe of Levi; hence: a priest's assistant, an under priest, as the members of that tribe were charged with this duty.""}"
"Λευειτικός",1,"G30200","{'brief': 'Levitical', 'long': 'belonging to the tribe of Levi; Levitical.'}"
"Λουκᾶς",2,"G30650","{'brief': 'Lucas, Luke', 'long': 'Lucas, Luke, Christian physician and writer of the Third Gospel and Acts.'}"
"Λύστρα",6,"G30820","{'brief': 'Lystra', 'long': 'Lystra, a Lycaonian city in the southern part of the Roman province Galatia.'}"
"Λώτ",4,"G30910","{'brief': 'Lot', 'long': '(Hebrew), Lot, nephew of Abraham.'}"
"Μάρθα",13,"G31360","{'brief': 'Martha', 'long': 'Martha, sister of Mary and Lazarus of Bethany.'}"
"Μαδιάμ",1,"G30990","{'brief': 'Midian', 'long': '(Hebrew), Midian, generally taken to mean or to include the peninsula of Sinai.'}"
"Μαθθαῖος",5,"G31560","{'brief': 'Matthew', 'long': 'Matthew.'}"
"Μακεδονία",22,"G31090","{'brief': 'Macedonia', 'long': '(Hebrew), Macedonia, a Roman province north of Achaia (Greece).'}"
"Μακεδών",5,"G31100","{'brief': 'a Macedonian', 'long': 'a Macedonian, an inhabitant of the Roman province Macedonia.'}"
"Μανασσῆς",3,"G31280","{'brief': 'Manasseh', 'long': '(Hebrew), Manasseh, (a) son of Joseph, founder of a tribe of Israel, (b) son of Hezekiah and father of Amon (Amos).'}"
"Μαρία",8,"G31370","{'brief': 'Mary, Miriam', 'long': 'Mary, Miriam, (a) the mother of Jesus, (b) of Magdala, (c) sister of Martha and Lazarus, (d) wife of Cleopas, (e) mother of John Mark, (f) a Christian woman in Rome.'}"
"Μαριάμ",11,"G31370","{'brief': 'Mary, Miriam', 'long': 'Mary, Miriam, (a) the mother of Jesus, (b) of Magdala, (c) sister of Martha and Lazarus, (d) wife of Cleopas, (e) mother of John Mark, (f) a Christian woman in Rome.'}"
"Μελχισέδεκ",8,"G31980","{'brief': 'Melchizedek', 'long': 'Melchizedek, king and priest of Salem.'}"
"Μεσοποταμία",2,"G33180","{'brief': 'Mesopotamia', 'long': 'Mesopotamia, the Country between the (two) Rivers, i.e. the Euphrates and the Tigris.'}"
"Μιχαήλ",2,"G34130","{'brief': 'Michael', 'long': 'Michael, an archangel.'}"
"Μολόχ",1,"G34340","{'brief': 'Moloch', 'long': 'Moloch, a god worshipped by several Semitic peoples.'}"
"Μωϋσῆς",70,"G34750","{'brief': 'Moses', 'long': 'Moses; met: the books of Moses, the Pentateuch.'}"
"Μᾶρκος",5,"G31380","{'brief': 'Mark', 'long': 'Mark, who also had the Hebrew name John, son of Mary, nephew of Barnabas, coadjutor of Barnabas, Paul, and Peter.'}"
"Μῆδος",1,"G33700","{'brief': 'a Mede', 'long': 'a Mede, a Median, from east of Assyria.'}"
"Ναζαρά",2,"G34780","{'brief': 'Nazareth', 'long': 'Nazareth, a city of Galilee, where Jesus lived before His ministry.'}"
"Ναζαρέθ",3,"G34780","{'brief': 'Nazareth', 'long': 'Nazareth, a city of Galilee, where Jesus lived before His ministry.'}"
"Ναζαρέτ",7,"G34780","{'brief': 'Nazareth', 'long': 'Nazareth, a city of Galilee, where Jesus lived before His ministry.'}"
"Ναζαρηνός",6,"G34790","{'brief': 'of Nazareth', 'long': 'of Nazareth, a Nazarene.'}"
"Ναζωραῖος",13,"G34800","{'brief': 'Nazarene', 'long': 'a Nazarene, an inhabitant of Nazareth.'}"
"Ναθάμ",1,"G34810","{'brief': 'Nathan', 'long': 'Nathan, son of David, and an ancestor of Jesus.'}"
"Ναιμάν",1,"G34970","{'brief': 'Naaman', 'long': 'Naaman.'}"
"Ναχώρ",1,"G34930","{'brief': 'Nahor', 'long': 'Nahor, one of the ancestors of Jesus.'}"
"Νεφθαλείμ",3,"G35080","{'brief': 'Naphtali', 'long': 'Naphtali, son of Jacob, founder of a tribe which occupied territory.'}"
"Νινευείτης",3,"G35360","{'brief': 'a Ninevite', 'long': 'a Ninevite, an inhabitant of Nineveh, a city on the Tigris in Assyria.'}"
"Νῶε",8,"G35750","{'brief': 'Noah', 'long': '(Hebrew) Noah.'}"
"Οὐρίας",1,"G37740","{'brief': 'Uriah', 'long': 'Uriah, husband of Bathsheba the mother of Solomon.'}"
"Παῦλος",157,"G39720","{'brief': 'Paul', 'long': 'Paul, Paulus.'}"
"Πειλᾶτος",52,"G40910","{'brief': 'Pilate', 'long': 'Pilate.'}"
"Ποντικός",1,"G41930","{'brief': 'belonging to Pontus', 'long': 'belonging to Pontus.'}"
"Πρίσκα",3,"G42510","{'brief': 'Prisca, Priscilla', 'long': 'Prisca, Priscilla, the former being the more correct and formal name, the latter a diminutive and more familiar; a Roman lady, probably of good birth, wife of the Jewish Christian Aquila.'}"
